cenario,tamanho_mb,throughput_mbps,tempo_s,retransmissoes
A,1,4.4489,1.886,0
A,5,4.4873,9.347,0
A,10,4.4739,18.75,0
A,25,4.4843,46.767,0
A,50,4.4811,93.6,0
A,75,4.4812,140.398,0
A,100,4.4771,187.366,0
B,1,0.1621,51.764,308
B,5,0.1303,321.893,1997
B,10,0.1365,614.697,3788
B,25,0.1316,1593.203,9884
B,50,0.1342,3125.687,19324
B,75,0.1323,4755.14,29476
B,100,0.1333,6292.254,38952
C,1,0.0411,204.163,1236
C,5,0.0435,964.418,5801
C,10,0.0452,1857.892,11136
C,25,0.0467,4489.866,26816
C,50,0.046,9108.409,54474
C,75,0.0469,13419.751,80100
C,100,0.0457,18356.688,109884
