cenario,window_size,throughput_mbps,tempo_s,retransmissoes,saturado
A,1,1.1187,7.499,0,False
A,2,2.235,3.753,0,False
A,4,4.4773,1.874,0,False
A,8,8.9176,0.941,0,False
A,16,17.8859,0.469,0,False
A,32,35.237,0.238,0,False
A,64,69.5959,0.121,0,False
A,128,136.6512,0.061,0,False
A,256,276.329,0.03,0,False
B,1,0.108,77.638,73,False
B,2,0.1301,64.458,166,False
B,4,0.1348,62.231,384,False
B,8,0.1216,69.01,936,False
B,16,0.0512,163.972,4698,False
B,32,0.0276,303.709,17524,False
B,64,0.002,4158.544,482681,False
B,128,0.0003,27498.629,6400000,True
B,256,0.0003,27499.087,12800000,True
C,1,0.0453,185.288,184,False
C,2,0.0505,166.019,428,False
C,4,0.0458,183.129,1093,False
C,8,0.0302,278.126,3584,False
C,16,0.0074,1126.306,29871,False
C,32,0.0005,18107.673,964783,False
C,64,0.0003,29998.799,3200000,True
C,128,0.0003,29999.628,6400000,True
C,256,0.0003,29999.771,12800000,True
